product_id,product_name,product_url
,The Lilly Dress,https://www.inmyprime.in/products/the-lilly-dress
,Lilly Flare Dress,https://www.inmyprime.in/products/lilly-flare-dress
,Barna Bubblegum Dress,https://www.inmyprime.in/products/barna-bubblegum-dress
,Venice Tier Dress,https://www.inmyprime.in/products/venice-tier-dress
,Phi-Phi Sunflower Dress,https://www.inmyprime.in/products/phi-phi-sunflower-dress
,Cuba Co-ord Set,https://www.inmyprime.in/products/cuba-co-ord-set
,Palma Rose Dress,https://www.inmyprime.in/products/palma-rose-dress
,Malibu Sequin Flower Dress,https://www.inmyprime.in/products/malibu-sequin-flower-dress
,Mykono Flower Dress,https://www.inmyprime.in/products/mykono-flower-dress
,Seychelles Linen Co-ord Set,https://www.inmyprime.in/products/seychelles-co-ord-set
,Amalfi Lavender 3-Piece Linen Co-ord Set,https://www.inmyprime.in/products/amalfi-lavender-linen-co-ord-set
,Ibiza Co-ord Set,https://www.inmyprime.in/products/ibiza-co-ord-set
,Romance in Rome Pink Co-ord Set,https://www.inmyprime.in/products/romance-in-rome-pink-co-ord-set
,Rome Black Co-ord Set,https://www.inmyprime.in/products/rome-black-co-ord-set
,Hollywood Marilyn Dress,https://www.inmyprime.in/products/hollywood-marilyn-dress
,Amalfi Blue 3-Piece Linen Co-ord Set,https://www.inmyprime.in/products/amalfi-blue-linen-co-ord-set
,Cancun Midi Dress,https://www.inmyprime.in/products/cancun-midi-dress
,Cairo Jewel Neck Co-ord Set,https://www.inmyprime.in/products/cairo-jewel-neck-co-ord-set
,Marbella Monochrome Dress,https://www.inmyprime.in/products/marbella-monochrome-dress
,Maasai Co-ord Set,https://www.inmyprime.in/products/maasai-corset-set
,Malta 3-Piece Co-ord Set,https://www.inmyprime.in/products/malta-3-piece-co-ord-set
,Tuscany Co-ord Set,https://www.inmyprime.in/products/tuscany-co-ord-set
,Tuscany Waist Coat,https://www.inmyprime.in/products/tuscany-waist-coat
,Cannes Dress,https://www.inmyprime.in/products/cannes-dress
,Paris Dip Hem Dress,https://www.inmyprime.in/products/paris-dip-hem-dress
,Tulum Flower Dress,https://www.inmyprime.in/products/tulum-flower-dress
,Jordan Ruffle Dress,https://www.inmyprime.in/products/jordan-ruffle-dress
,Florence Shift Dress,https://www.inmyprime.in/products/florence-shift-dress
,Giza Skirt Set,https://www.inmyprime.in/products/giza-skirt-set
,Sicily Co-ord Set,https://www.inmyprime.in/products/sicily-co-ord-set
,Aquaba Co-ord Set,https://www.inmyprime.in/products/aquaba-co-ord-set
,Hawai Loop Dress,https://www.inmyprime.in/products/hawai-loop-dress
,Milan Co-ord Set,https://www.inmyprime.in/products/milan-co-ord-set
,Malta Shorts,https://www.inmyprime.in/products/malta-shorts
,Malta Shirt,https://www.inmyprime.in/products/malta-shirt
,Malta Bralette Top,https://www.inmyprime.in/products/malta-bralette-top
,Tuscany Trousers,https://www.inmyprime.in/products/tuscany-trousers
,Sicily Marley Skirt,https://www.inmyprime.in/products/sicily-marley-skirt
,Sicily Shirt,https://www.inmyprime.in/products/sicily-shirt
,Amalfi Pink Butterfly Top,https://www.inmyprime.in/products/amalfi-pink-butterfly-top
,Amalfi Lavendar Trouser,https://www.inmyprime.in/products/amalfi-lavendar-trouser
,Amalfi Lavendar Layover,https://www.inmyprime.in/products/amalfi-lavendar-layover
,Romance in Rome Shirt,https://www.inmyprime.in/products/romance-in-rome-shirt
,Romance in Rome Trouser,https://www.inmyprime.in/products/romance-in-rome-trouser
,Amalfi Blue Butterfly Top,https://www.inmyprime.in/products/amalfi-blue-butterfly-top
,Amalfi Blue Trouser,https://www.inmyprime.in/products/amalfi-blue-trouser
,Amalfi Blue Layover,https://www.inmyprime.in/products/amalfi-blue-layover
,Milan Sleeveless Jacket,https://www.inmyprime.in/products/milan-sleeveless-jacket
,Rome Shirt,https://www.inmyprime.in/products/rome-shirt
,Rome Trouser,https://www.inmyprime.in/products/rome-trouser
,Ibiza Top,https://www.inmyprime.in/products/ibiza-top
,Ibiza Trouser,https://www.inmyprime.in/products/ibiza-trouser
,Tokyo Bow Dress,https://www.inmyprime.in/products/tokyo-bow-dress
,Maasai Pant,https://www.inmyprime.in/products/maasai-pant
,Maasai Corset,https://www.inmyprime.in/products/maasai-corset
,Cairo Pant,https://www.inmyprime.in/products/cairo-pant
,Cairo Top,https://www.inmyprime.in/products/cairo-top
,Cuba Top,https://www.inmyprime.in/products/cuba-top
,Cuba Trouser,https://www.inmyprime.in/products/cuba-trouser
,Aquaba Khadi Top,https://www.inmyprime.in/products/aquaba-khadi-top
,Aquaba Khadi Trousers,https://www.inmyprime.in/products/aquaba-khadi-trousers
,Seychelles Linen Tie Top,https://www.inmyprime.in/products/seychelles-tie-top
,Seychelles Linen Trouser,https://www.inmyprime.in/products/seychelles-linen-trouser
,Milan Skirt,https://www.inmyprime.in/products/milan-skirt
,Havana Shirt,https://www.inmyprime.in/products/havana-shirt
